t,value
2021-11-04T22:00:00;,98.709
2021-11-04T23:00:00;,99.506
2021-11-05T00:00:00;,99.447
2022-12-26T20:00:00;,99.817
2022-12-26T21:00:00;,99.385
2022-12-26T22:00:00;,99.732
2022-12-26T23:00:00;,99.748
2022-12-27T00:00:00;,99.805
2022-12-27T22:00:00;,99.899
2023-01-20T22:00:00;,99.985
2023-01-21T16:00:00;,99.939
2023-01-21T18:00:00;,99.752
2023-02-16T23:00:00;,99.912
2023-02-17T01:00:00;,99.439
2023-02-20T20:00:00;,99.269
2023-02-20T21:00:00;,99.273
2023-02-20T22:00:00;,99.248
2023-02-20T23:00:00;,98.915
2023-02-21T00:00:00;,98.379
2023-02-21T01:00:00;,98.573
2023-02-21T02:00:00;,99.173
2023-02-21T03:00:00;,99.493
2023-02-21T04:00:00;,98.774
2023-02-21T05:00:00;,99.439
2023-02-21T07:00:00;,99.254
2023-02-21T08:00:00;,99.779
2023-02-21T09:00:00;,99.955
2023-02-21T10:00:00;,99.724
2023-02-21T11:00:00;,99.653
2023-02-21T13:00:00;,99.77
2023-02-21T14:00:00;,99.575
2023-02-21T18:00:00;,99.8
2023-02-21T19:00:00;,99.371
2023-02-21T20:00:00;,98.816
2023-02-21T21:00:00;,97.981
2023-02-21T22:00:00;,98.068
2023-02-21T23:00:00;,98.006
2023-02-22T00:00:00;,97.899
2023-02-22T01:00:00;,97.674
2023-02-22T02:00:00;,98.06
2023-02-22T03:00:00;,98.527
2023-02-22T04:00:00;,98.682
2023-02-22T05:00:00;,98.93
2023-02-22T06:00:00;,98.749
2023-02-22T07:00:00;,98.972
2023-02-22T08:00:00;,99.063
2023-02-22T09:00:00;,99.528
2023-02-22T10:00:00;,99.518
2023-02-22T11:00:00;,98.914
2023-02-22T12:00:00;,99.047
2023-02-22T13:00:00;,99.152
2023-02-22T14:00:00;,99.353
2023-02-22T15:00:00;,99.007
2023-02-22T16:00:00;,99.233
2023-02-22T17:00:00;,99.53
2023-02-22T18:00:00;,99.992
2023-02-22T19:00:00;,99.153
2023-02-22T20:00:00;,98.768
2023-02-22T21:00:00;,98.473
2023-02-22T22:00:00;,98.91
2023-02-22T23:00:00;,98.177
2023-02-23T00:00:00;,97.881
2023-02-23T01:00:00;,98.463
2023-02-23T02:00:00;,98.522
2023-02-23T03:00:00;,98.614
2023-02-23T04:00:00;,98.669
2023-02-23T05:00:00;,98.603
2023-02-23T06:00:00;,98.725
2023-02-23T07:00:00;,98.627
2023-02-23T08:00:00;,98.429
2023-02-23T09:00:00;,98.833
2023-02-23T10:00:00;,98.953
2023-02-23T11:00:00;,99.074
2023-02-23T12:00:00;,99.39
2023-02-23T13:00:00;,98.92
2023-02-23T14:00:00;,99.272
2023-02-23T15:00:00;,99.153
2023-02-23T16:00:00;,99.061
2023-02-23T17:00:00;,99.074
2023-02-23T18:00:00;,99.547
2023-02-23T19:00:00;,98.76
2023-02-23T20:00:00;,99.068
2023-02-23T21:00:00;,99.035
2023-02-23T22:00:00;,98.522
2023-02-23T23:00:00;,98.475
2023-02-24T00:00:00;,98.84
2023-02-24T01:00:00;,98.98
2023-02-24T02:00:00;,98.849
2023-02-24T03:00:00;,98.454
2023-02-24T04:00:00;,99.537
2023-02-24T05:00:00;,99.129
2023-02-24T06:00:00;,99.684
2023-02-24T07:00:00;,99.566
2023-02-24T09:00:00;,99.834
2023-02-24T10:00:00;,99.713
2023-02-24T11:00:00;,99.693
2023-02-24T12:00:00;,99.378
2023-02-24T13:00:00;,99.108
2023-02-24T14:00:00;,99.363
2023-02-24T15:00:00;,98.729
2023-02-24T16:00:00;,98.321
2023-02-24T17:00:00;,98.348
2023-02-24T18:00:00;,98.246
2023-02-24T19:00:00;,98.274
2023-02-24T20:00:00;,98.222
2023-02-24T21:00:00;,98.317
2023-02-24T22:00:00;,98.077
2023-02-24T23:00:00;,97.824
2023-02-25T00:00:00;,98.102
