t,value
0,99.97695094389694
1,100.02783988046417
2,100.02988967976009
3,99.9824455707142
4,100.06316384894615
5,100.05242831103966
6,100.06985610279699
7,100.04994862072431
8,100.08099449063906
9,100.06933887463495
10,100.08667290805755
11,100.06183546928992
12,100.08279493752507
13,100.06851145865262
14,100.09712901395248
15,100.03360635611386
16,100.0574277059066
17,100.07260011132684
18,100.04967806090175
19,100.05128608609755
20,100.06911981906201
21,100.02754695560239
22,100.05521404382009
23,100.03653940772902
24,100.03339903477979
25,100.00653436015722
26,99.99014470455253
27,100.00449416601164
28,99.99930892366314
29,100.02345348448542
30,100.00764117856065
31,99.97972981606152
32,99.98160728657265
33,99.97525922234391
34,99.97905821183616
35,100.01691574958127
36,100.00174485239076
37,100.00177434136971
38,99.98439405922694
39,99.97661071214769
40,99.98331477518735
41,99.99462673552723
42,99.99403410100996
43,99.99919347367553
44,100.02634066675523
45,99.99834486307904
46,100.02931691067045
47,100.03464998584327
48,100.0633445449112
49,100.05150654234095
50,100.02092647134228
51,100.06672754456064
52,100.08885479683798
53,100.06349127810736
54,100.11090412670063
55,100.08266245830075
56,100.06330606388111
57,100.08650568589708
58,100.09116850211143
59,100.07058156000605
60,100.10131639040868
61,100.0812165193476
62,100.10222703936225
63,100.13279349010058
64,100.09930091007276
65,100.09900312831338
66,100.10092595394472
67,100.13789257539018
68,100.09545712269733
69,100.10187632034778
70,100.10674893673952
71,100.11337209403389
72,100.07715405593805
73,100.06507783792931
74,100.09817067993508
75,100.03932038321823
76,100.05379748581187
77,100.07115741901906
78,100.02784506576572
79,100.04227835778661
80,100.02990072914774
81,100.06729236253908
82,100.03215473421703
83,100.01181521128535
84,100.0181693960126
85,100.05184950718184
86,100.05298216224078
87,100.03718218954161
88,100.03974016994867
89,100.03494160752376
90,100.06576698698193
91,100.02257130588444
92,100.04134410761709
93,100.06319039196369
94,100.05417968620853
95,100.10220108038249
96,100.05299876057065
97,100.06942404843446
98,100.0788351473027
99,100.11601580011515
100,100.12096021644368
101,100.09379996302377
102,100.09156034355561
103,100.13379728830658
104,100.1248166776255
105,100.15240343976684
106,100.1232464856487
107,100.14117705626134
108,100.14151058800195
109,100.17762853654551
110,100.18303449786846
111,100.16943609418632
112,100.19426595013435
113,100.18175670834252
114,100.17539817007413
115,100.16270083518808
116,100.12805319162929
117,100.1285047116798
118,100.15810620140815
119,100.14867454679741
120,100.12887866783971
121,100.15553339117034
122,100.12522327553793
123,100.11672668323331
124,100.10866887546247
125,100.11574098841083
126,100.12300288582902
127,100.10713401909314
128,100.13215673380503
129,100.14251692884548
130,100.076884211531
131,100.1041087190995
132,100.10982664962484
133,100.08626757495726
134,100.04248526051454
135,100.1029032927365
136,100.14102966547993
137,100.0508585576451
138,100.08992173098397
139,100.08380806554011
140,100.06277069892
141,100.09857224147628
142,100.08306363651245
143,100.1070896180019
144,100.09671895626036
145,100.11166752945397
146,100.11727153681105
147,100.14813604317125
